timestamp,x,y
78662.943,0.069927735,3.5663145
78662.967,0.069927735,3.5663145
78662.993,0.069927735,3.5663145
78663.017,0.085133703,3.5446578
78663.043,0.085133703,3.5446578
78663.068,0.085133703,3.5446578
78663.095,0.085133703,3.5446578
78663.119,0.055008232,3.6305433
78663.145,0.055008232,3.6305433
78663.173,0.055008232,3.6305433
78663.195,0.046810888,3.5888347
78663.22,0.046810888,3.5888347
78663.245,0.046810888,3.5888347
78663.27,0.046810888,3.5888347
78663.296,0.046810888,3.5888347
78663.32,0.046810888,3.5888347
78663.346,0.046810888,3.5888347
78663.371,0.046810888,3.5888347
78663.396,0.046810888,3.5888347
78663.421,0.046810888,3.5888347
78663.446,0.046810888,3.5888347
78663.471,0.085133703,3.5446578
78663.497,0.085133703,3.5446578
78663.522,0.085133703,3.5446578
78663.546,0.054598548,3.5879046
78663.572,0.054598548,3.5879046
78663.596,0.054598548,3.5879046
78663.622,0.054598548,3.5879046
78663.647,0.054598548,3.5879046
78663.672,0.054598548,3.5879046
78663.697,0.054598548,3.5879046
78663.723,0.054598548,3.5879046
78663.748,0.054598548,3.5879046
78663.774,0.038330433,3.4880694
78663.798,0.038330433,3.4880694
78663.824,0.04522718,3.3920385
78663.85,0.04522718,3.3920385
78663.874,0.00734111,3.2521117
78663.899,0.00734111,3.2521117
78663.924,0.00734111,3.2521117
78663.949,0.073688677,3.2644084
78663.974,0.073688677,3.2644084
78664,-0.0288477,3.1371874
78664.025,-0.0288477,3.1371874
78664.049,-0.0288477,3.1371874
78664.075,-0.0071532529,3.1045118
78664.101,-0.0071532529,3.1045118
78664.125,0.035543644,3.0567534
78664.151,0.035543644,3.0567534
78664.176,0.035543644,3.0567534
78664.2,0.027476614,2.8575679
78664.232,0.027476614,2.8575679
78664.25,0.027476614,2.8575679
78664.276,0.027476614,2.8575679
78664.301,0.020425818,2.8051456
78664.325,0.020425818,2.8051456
78664.351,0.020425818,2.8051456
78664.376,0.0067799798,2.7797917
78664.401,0.0067799798,2.7797917
78664.427,0.0067799798,2.7797917
78664.452,0.0067799798,2.7797917
78664.477,0.019815757,2.6222851
78664.503,0.019815757,2.6222851
78664.527,0.019815757,2.6222851
78664.553,0.11045304,2.54042
78664.577,0.11045304,2.54042
78664.607,0.11045304,2.54042
78664.628,0.11045304,2.54042
78664.653,0.11045304,2.54042
78664.68,0.012830165,2.4698067
78664.703,0.012830165,2.4698067
78664.729,0.012830165,2.4698067
78664.753,0.012830165,2.4698067
78664.78,0.10599094,2.3255659
78664.804,0.10599094,2.3255659
78664.829,0.10599094,2.3255659
78664.855,0.0364221,2.1792557
78664.879,0.0364221,2.1792557
78664.904,0.0364221,2.1792557
78664.93,0.0364221,2.1792557
78664.955,0.0364221,2.1792557
78664.981,0.0364221,2.1792557
78665.008,0.017821928,2.061403
78665.032,0.017821928,2.061403
78665.057,0.017821928,2.061403
78665.083,0.12060582,1.8607756
78665.108,0.12060582,1.8607756
78665.132,0.12060582,1.8607756
78665.157,0.12060582,1.8607756
78665.184,0.011387816,1.8277445
78665.207,0.011387816,1.8277445
78665.232,0.011387816,1.8277445
78665.257,0.011387816,1.8277445
78665.284,0.050248114,1.7475177
78665.308,0.050248114,1.7475177
78665.333,0.050248114,1.7475177
78665.359,0.081778071,1.651917
78665.383,0.081778071,1.651917
78665.411,0.081778071,1.651917
78665.434,0.081778071,1.651917
78665.465,0.068369064,1.5146377
78665.484,0.068369064,1.5146377
78665.514,0.068369064,1.5146377
78665.534,0.068369064,1.5146377
78665.563,0.010079394,1.3103212
78665.586,0.010079394,1.3103212
78665.61,0.010079394,1.3103212
78665.636,0.010079394,1.3103212
78665.677,0.010079394,1.3103212
78665.688,0.068907814,1.2009648
78665.713,0.068907814,1.2009648
78665.736,0.068907814,1.2009648
78665.761,0.068907814,1.2009648
78665.789,0.0096436932,1.0897373
78665.813,0.0096436932,1.0897373
78665.837,0.0096436932,1.0897373
78665.863,0.079240572,0.90427476
78665.889,0.079240572,0.90427476
78665.914,0.079240572,0.90427476
78665.94,0.079240572,0.90427476
78665.966,0.0460301,0.85155685
78665.991,0.0460301,0.85155685
78666.014,0.0460301,0.85155685
78666.042,0.0460301,0.85155685
78666.066,0.0460301,0.85155685
78666.093,0.031714707,0.75209161
78666.115,0.031714707,0.75209161
